Subject,eligible_to_participate,Country you practice in,Location of your practice (City),Population of critically ill patients you manage,What type of ICU do you provide critical care? (select more than one if it applies),Please describe the ICU:,Type of hospital you are employed by (select more than one if it applies),Please describe the hospital:,Beds in your primary Intensive Care Unit,What is the Patient-to-nurse ratio in your Intensive Care Unit?,Do you have separate Stepdown Units / High Dependency Units for critically ill patients?,What is your specialty?,Please describe your specialty:,Years of practice in critical care medicine,Is your ICU managed by a dedicated team of intensivists?,"Advanced Practice Provider (PA, NP)",Critical Care Technician,Dietician,Occupational / Speech Therapist,Pharmacist,Physician (Consultant/Attending),Physiotherapist,Registered Nurse,Respiratory Therapist,Social Worker,Training MD (Intern/Resident/Fellow),Other,Please list any other team members who participate in the multidisciplinary team:,Please list any other team members who actively participate or are present in rounds,How familiar are you with the ICU Liberation Bundle (A-F)?,Do you have written protocol for any part of the ICU Liberation Bundle (A-F)? (select only those that apply),Does your unit measure ICU Liberation Bundle (A-F) compliance?,"A: Assess, Prevent and Manage Pain",B: Both Spontaneous Awakening and Breathing Trials,C: Choice of Analgesia and Sedation,"D: Assess, Prevent, and Manage Delirium",E: Early Mobility and Exercise,F: Family Engagement,"A: Assess, Prevent and Manage Pain.1",B: Both Spontaneous Awakening and Breathing Trials.1,C: Choice of Analgesia and Sedation.1,"D: Assess, Prevent and Manage Delirium",E: Early Mobility and Exercise.1,F: Family Engagement.1,"A: Assess, Prevent and Manage Pain.2",B: Both Spontaneous Awakening and Breathing Trials.2,C: Choice of Analgesia and Sedation.2,"D: Assess, Prevent and Manage Delirium.1",E: Early Mobility and Exercise.2,F:Family Engagement,Does your unit staff use pain assessment tools to assess the pain in critically ill patients?,Drugs used for pain management (select all that apply):,Please list other drugs used,Does your unit perform spontaneous awakening trials for ventilated critically ill patients?,Does your unit perform spontaneous breathing trials for ventilated critically ill patients?,Does your unit staff use sedation assessment tools to assess sedation in critically ill patients?,Drugs used for sedation management (select all that apply):,Please list other drugs used.1,Do you use delirium monitoring tools in your unit?,Do you use nonpharmacological interventions to promote sleep in your unit?,Do you evaluate ICU-acquired weakness in your unit?,"Based on your experience, in the majority of patients, how early do you initiate active mobility (e.g., sitting at the bedside, out of bed) with patients in your unit, if patient condition allows?",How frequently is mobility practiced?,Invasive mechanical ventilation,Noninvasive Ventilation (BiPAP/HFNC),Peritoneal dialysis,Continuous renal replacement therapy (CRRT),Extracorporeal life support (ECMO),Participation on Rounds,24/7 unrestricted family visit,Involvement in care tasks,Provide education on the ICU Liberation Bundle (A-F),Family stays at bedside,Would you be interested in learning more about the ICU Liberation Bundle (A-F)?,Lack of Education,Communication barriers,Lack of funds and resources,Lack of nursing and other healthcare providers,It is too time-consuming,Lack of buy-in from leadership,Lack of buy-in from unit staff,Please describe any other barriers your unit is experiencing with regard to ICU Liberation Bundle (A-F) implementation. Enter N/A if none.,accept_icu_survey_complete,Government,Private,Semiprivate,University/Academic Hospital,Non-academic Hospital,District Hospital,Community Hospital/Secondary,-,Community,District,Government.1,Hospital,Hospital/Secondary,Non-academic,Other.1,Private.1,Semiprivate.1,University/Academic,-.1,Community.1,District.1,Government.2,Hospital.1,Hospital/Secondary.1,Non-academic.1,Other.2,Private.2,Semiprivate.2,University/Academic.1
SC-2884756,Yes,Pakistan,Karachi,Pediatric,Medical-Surgical Mixed ICU Cardiac Thoracic ICU Pediatric ICU,,Government,,11 - 20 beds,1 nurse to 1 patient,No,Other,Nurse manager,11 - 15 years,Yes,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,,,0,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial",No,I don't know,Compliant on some patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,Compliant on most patients,No,No,No,No,No,No,Physician,Physician,Physician,Physician,Physician,Physician,Yes,Morphine Ketamine Paracetamol Nalbuphine Nonsteroidal anti-inflammatory drugs,,Yes,Yes,No,Midazolam Diazepam Propofol Ketamine,,No,Yes,No,Within 1-3 days of admission,Daily,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,3,3,6,4,4,6,6,,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2884758,Yes,India,Chandigarh,Pediatric,Pediatric ICU,,Government University/Academic Hospital,,11 - 20 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes,,,,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation",No,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on most patients,Compliant on most patients,Lectures,Lectures,Lectures,No,Lectures,No,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,Yes,Yes,Within 1-3 days of admission,Multiple times a day,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,2,3,2,1,1,7,4,,Completed,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
SC-2884772,Yes,Pakistan,Karachi,Pediatric,Cardiac Thoracic ICU Pediatric ICU,,Private,,11 - 20 beds,1 nurse to 1 patient,Yes,Training MD (Intern/Resident/Fellow),,<2 years,Yes,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2884773,Yes,Pakistan,Islamabad,Pediatric,Medical-Surgical Mixed ICU Pediatric ICU,,Private,,Less than 10 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,6 - 10 years,Yes,Active Participation / Present During Rounds,,,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,,Active Participation / Present During Rounds,0,,,"I have heard of it, but I don't know much about it",None of them,No,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Non-Compliant,Compliant on most patients,Compliant on some patients,No,Lectures,Lectures,No,No,No,Physician Training MD Intern / Resident / Fellow,Physician Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,Physician,Physician Registered Nurse Respiratory Therapist,Physician Registered Nurse,Yes,Fentanyl Morphine Ketamine Paracetamol Nalbuphine Nonsteroidal anti-inflammatory drugs,,Yes,Yes,No,Midazolam Ketamine Dexmedetomidine Chloral hydrate,,No,No,No,Within 1-3 days of admission,Variable,No,No,Yes,No,I don't know,No,Yes,Yes,No,Yes,Yes,1,6,Not a Barrier,Not a Barrier,3,4,6,N/a,Completed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2884774,Yes,India,Coimbatore,Pediatric,Pediatric ICU,,Private University/Academic Hospital,,Less than 10 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,11 - 15 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Videos Lectures,Videos Lectures,Videos Lectures,Videos Lectures,Videos Lectures,Videos Lectures,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse Respiratory Therapist,Physician Registered Nurse,Yes,Fentanyl Morphine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Dexmedetomidine,,Yes,Yes,Yes,Within 4-6 days of admission,Daily,No,Yes,No,No,No,No,No,Yes,No,No,Yes,2,2,4,1,6,7,7,,Completed,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
SC-2884776,Yes,Pakistan,Karachi,Pediatric,Pediatric ICU,,Private University/Academic Hospital,,Less than 10 beds,1 nurse to 1 patient,Yes,Training MD (Intern/Resident/Fellow),,<2 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,I have never heard of it,"B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management",I don't know,I don't know,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),I don't know,I don't know,I don't know,No,No,Handouts,Handouts,No,No,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Training MD Intern / Resident / Fellow Advanced Practice Provider,Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,,,Yes,Fentanyl Morphine Ketamine Paracetamol Nalbuphine,,Yes,Yes,Yes,Lorazepam Dexmedetomidine,,I don't know,No,I don't know,Within 1-3 days of admission,Daily,No,Yes,No,No,No,No,Yes,Yes,I don't know,No,Yes,7,7,8,6,6,7,7,,Completed,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
SC-2884782,Yes,,,Pediatric,Cardiac Thoracic ICU Pediatric ICU,,Private University/Academic Hospital,,Less than 10 beds,1 nurse to 1 patient,Yes,Training MD (Intern/Resident/Fellow),,<2 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain C: Choice of Analgesia and Sedation",Yes,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on some patients,Fully Compliant (on all eligible patients),No,No,No,No,No,No,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Morphine Ketamine Paracetamol Nalbuphine Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Lorazepam Propofol Dexmedetomidine Chloral hydrate,,Yes,No,I don't know,Within 4-6 days of admission,Variable,Yes,Yes,No,No,I don't know,No,No,Yes,I don't know,Yes,Yes,3,6,6,6,6,Not a Barrier,6,"Rotating residents should recieve formal training for ICU liberation bundle at the start of rotation, in order to help improve compliance.",Completed,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
SC-2884783,Yes,Pakistan,Karachi,Both Adult and Pediatric,Cardiac Thoracic ICU Pediatric ICU,,Private,,11 - 20 beds,1 nurse to 1 patient,Yes,Other,UR,11 - 15 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,0,yes,yes,Very Familiar,"D: Delirium Assessment, Prevention and Management",Yes,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),I don't know,Compliant on most patients,Compliant on some patients,Compliant on some patients,Simulations,Lectures,No,Lectures,Handouts No,No,Training MD Intern / Resident / Fellow,Respiratory Therapist,Physician,Registered Nurse,Training MD Intern / Resident / Fellow,Physician,Yes,Morphine Paracetamol,,I don't know,Yes,Yes,Propofol,,No,I don't know,I don't know,Within 7-10 days of admission,Once a week,Yes,Yes,Yes,Yes,Yes,Yes,No,I don't know,Yes,No,Yes,6,6,Not a Barrier,2,2,4,5,af,Completed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2884790,Yes,Pakistan,Karachi,Pediatric,Pediatric ICU,,Private,,11 - 20 beds,1 nurse to 1 patient,Yes,Training MD (Intern/Resident/Fellow),,<2 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2884792,Yes,Pakistan,Karachi,Pediatric,Medical-Surgical Mixed ICU,,University/Academic Hospital Other,Tertiary Care Hospital,21 - 30 beds,1 nurse to 1 patient,Yes,Physician (Consultant/Attending),,6 - 10 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,1,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation E: Early Mobility F: Family Engagement",Yes,Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on some patients,Compliant on most patients,Compliant on most patients,Videos Lectures Simulations,Videos Lectures Handouts,Videos Lectures,Videos Lectures,Videos Lectures Handouts,Videos Lectures,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,No,Fentanyl Morphine Ketamine Paracetamol Nalbuphine,,Yes,Yes,No,Midazolam Diazepam Propofol Ketamine Dexmedetomidine Chloral hydrate,,No,No,No,Within 1-3 days of admission,Daily,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,1,4,1,2,2,3,3,Lack of sufficient trained nursing staff,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
SC-2884799,Yes,Pakistan,Karachi,Both Adult and Pediatric,Pediatric ICU,,University/Academic Hospital,,>40 beds,1 nurse to 1 patient,Yes,Other,critical care manager,>15 years,Yes,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on most patients,Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on some patients,Compliant on most patients,Compliant on most patients,Lectures,Lectures,Lectures Handouts,Lectures,Lectures Handouts,Lectures,Physician,Physician Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Yes,Fentanyl Morphine Ketamine Paracetamol Nalbuphine Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Diazepam Propofol Ketamine Other,so many,Yes,Yes,Yes,Within 1-3 days of admission,Variable,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,4,3,5,1,2,2,2,no any,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
SC-2884804,Yes,Pakistan,Karachi,Pediatric,Pediatric ICU,,Private,,11 - 20 beds,1 nurse to 2 patients,Yes,Registered Nurse,,6 - 10 years,Yes,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,,"I have heard of it, but I don't know much about it",None of them,I don't know,I don't know,Compliant on some patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on most patients,Simulations,No,No,Simulations,Lectures,Handouts,Physician,Physician,Physician,Physician,Training MD Intern / Resident / Fellow,Registered Nurse,No,Ketamine Paracetamol Nalbuphine,,I don't know,No,No,Ketamine,,No,Yes,Yes,Never,Multiple times a day,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,3,4,5,5,5,6,4,,Completed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2884825,Yes,India,Bhubaneswar,Pediatric,Medical-Surgical Mixed ICU,,University/Academic Hospital,,11 - 20 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Somewhat Familiar,"B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial D: Delirium Assessment, Prevention and Management",No,Compliant on most patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,No,No,No,No,No,No,Physician,Physician,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician,Physician,Yes,Fentanyl Morphine Ketamine Paracetamol,,Yes,Yes,Yes,Midazolam Lorazepam Propofol Ketamine Dexmedetomidine Chloral hydrate,,Yes,Yes,No,Within 1-3 days of admission,Daily,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,3,4,Not a Barrier,Not a Barrier,Not a Barrier,3,4,,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
SC-2884839,Yes,Pakistan,Peshawar,Pediatric,Pediatric ICU,,Government,,Less than 10 beds,1 nurse to 6-10 patients,No,Physician (Consultant/Attending),,3 - 5 years,No,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2884842,Yes,Pakistan,Karachi,Pediatric,Pediatric ICU,,Private,,Less than 10 beds,1 nurse to 1 patient,Yes,Registered Nurse,,6 - 10 years,Yes,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2884847,Yes,Pakistan,Karachi,Adult,Surgical ICU Medical ICU,,Private,,21 - 30 beds,1 nurse to 1 patient,Yes,Training MD (Intern/Resident/Fellow),,<2 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on most patients,Compliant on most patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on most patients,Videos Lectures Handouts Simulations,Videos,Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Lectures,Physician,Physician Training MD Intern / Resident / Fellow Registered Nurse Respiratory Therapist,Physician,Physician Training MD Intern / Resident / Fellow,Advanced Practice Provider Registered Nurse,Physician Training MD Intern / Resident / Fellow,Yes,Fentanyl Morphine Paracetamol Nalbuphine Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Diazepam Propofol Ketamine,,No,Yes,Yes,Within 1-3 days of admission,Daily,No,Yes,No,Yes,I don't know,Yes,No,Yes,Yes,Yes,Yes,5,2,6,8,3,4,7,,Completed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
