Subject,eligible_to_participate,Country you practice in,Location of your practice (City),Population of critically ill patients you manage,What type of ICU do you provide critical care? (select more than one if it applies),Please describe the ICU:,Type of hospital you are employed by (select more than one if it applies),Please describe the hospital:,Beds in your primary Intensive Care Unit,What is the Patient-to-nurse ratio in your Intensive Care Unit?,Do you have separate Stepdown Units / High Dependency Units for critically ill patients?,What is your specialty?,Please describe your specialty:,Years of practice in critical care medicine,Is your ICU managed by a dedicated team of intensivists?,"Advanced Practice Provider (PA, NP)",Critical Care Technician,Dietician,Occupational / Speech Therapist,Pharmacist,Physician (Consultant/Attending),Physiotherapist,Registered Nurse,Respiratory Therapist,Social Worker,Training MD (Intern/Resident/Fellow),Other,Please list any other team members who participate in the multidisciplinary team:,Please list any other team members who actively participate or are present in rounds,How familiar are you with the ICU Liberation Bundle (A-F)?,Do you have written protocol for any part of the ICU Liberation Bundle (A-F)? (select only those that apply),Does your unit measure ICU Liberation Bundle (A-F) compliance?,"A: Assess, Prevent and Manage Pain",B: Both Spontaneous Awakening and Breathing Trials,C: Choice of Analgesia and Sedation,"D: Assess, Prevent, and Manage Delirium",E: Early Mobility and Exercise,F: Family Engagement,"A: Assess, Prevent and Manage Pain.1",B: Both Spontaneous Awakening and Breathing Trials.1,C: Choice of Analgesia and Sedation.1,"D: Assess, Prevent and Manage Delirium",E: Early Mobility and Exercise.1,F: Family Engagement.1,"A: Assess, Prevent and Manage Pain.2",B: Both Spontaneous Awakening and Breathing Trials.2,C: Choice of Analgesia and Sedation.2,"D: Assess, Prevent and Manage Delirium.1",E: Early Mobility and Exercise.2,F:Family Engagement,Does your unit staff use pain assessment tools to assess the pain in critically ill patients?,Drugs used for pain management (select all that apply):,Please list other drugs used,Does your unit perform spontaneous awakening trials for ventilated critically ill patients?,Does your unit perform spontaneous breathing trials for ventilated critically ill patients?,Does your unit staff use sedation assessment tools to assess sedation in critically ill patients?,Drugs used for sedation management (select all that apply):,Please list other drugs used.1,Do you use delirium monitoring tools in your unit?,Do you use nonpharmacological interventions to promote sleep in your unit?,Do you evaluate ICU-acquired weakness in your unit?,"Based on your experience, in the majority of patients, how early do you initiate active mobility (e.g., sitting at the bedside, out of bed) with patients in your unit, if patient condition allows?",How frequently is mobility practiced?,Invasive mechanical ventilation,Noninvasive Ventilation (BiPAP/HFNC),Peritoneal dialysis,Continuous renal replacement therapy (CRRT),Extracorporeal life support (ECMO),Participation on Rounds,24/7 unrestricted family visit,Involvement in care tasks,Provide education on the ICU Liberation Bundle (A-F),Family stays at bedside,Would you be interested in learning more about the ICU Liberation Bundle (A-F)?,Lack of Education,Communication barriers,Lack of funds and resources,Lack of nursing and other healthcare providers,It is too time-consuming,Lack of buy-in from leadership,Lack of buy-in from unit staff,Please describe any other barriers your unit is experiencing with regard to ICU Liberation Bundle (A-F) implementation. Enter N/A if none.,accept_icu_survey_complete
SC-2927674,Yes,South Africa,Pietermaritzburg,Pediatric,Medical-Surgical Mixed ICU Pediatric ICU,,Government,,Less than 10 beds,1 nurse to 1 patient,Yes,Physician (Consultant/Attending),,6 - 10 years,Yes, - , - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2885521,Yes,South Africa,City,Pediatric,Medical-Surgical Mixed ICU,,Government,,Less than 10 beds,1 nurse to 3-5 patients,Yes,Physician (Consultant/Attending),,11 - 15 years,No, - , - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team,Active Participation / Present During Rounds, - ,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2881285,Yes,South Africa,Johannesburg,Pediatric,Medical-Surgical Mixed ICU Cardiac Thoracic ICU Pediatric ICU,,Private University/Academic Hospital,,11 - 20 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,11 - 15 years,Yes, - , - ,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds, - ,Active Participation / Present During Rounds,Active Participation / Present During Rounds, - ,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2935905,Yes,South Africa,Bloemfontein,Pediatric,Cardiac Thoracic ICU Pediatric ICU,,University/Academic Hospital,,Less than 10 beds,1 nurse to 1 patient,No,Physician (Consultant/Attending),,>15 years,Yes, - ,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds, - ,,,"I have heard of it, but I don't know much about it",C: Choice of Analgesia and Sedation,No,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,No,No,No,No,No,No,Physician,Physician,Physician,Physician,Physician,Physician Training MD Intern / Resident / Fellow,Yes,Fentanyl Morphine Ketamine Methadone Paracetamol Nonsteroidal anti-inflammatory drugs,,No,Yes,Yes,Midazolam Diazepam Propofol Ketamine Dexmedetomidine,,No,No,Yes,Within 4-6 days of admission,Daily,Yes,Yes,No,I don't know,No,Yes,Yes,Yes,No,Yes,Yes,6,4,Not a Barrier,5,Not a Barrier,Not a Barrier,3,,Completed
SC-2881321,Yes,South Africa,Preoria,Adult,Medical-Surgical Mixed ICU,,Government University/Academic Hospital,,11 - 20 beds,1 nurse to 1 patient,Yes,Physician (Consultant/Attending),,>15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - , - , - , - ,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",No,Compliant on most patients,Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on most patients,Fully Compliant (on all eligible patients),No,Lectures,Lectures,Lectures,Lectures,Lectures,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Morphine Ketamine Remifentanyl Paracetamol,,Yes,Yes,Yes,Midazolam Lorazepam Propofol Ketamine Dexmedetomidine,,No,Yes,Yes,Within 4-6 days of admission,Daily,No,Yes,No,Yes,No,No,No,No,No,Yes,No,2,4,5,5,4,7,6,Na,Completed
SC-2885881,Yes,South Africa,Cape Town,Pediatric,Medical-Surgical Mixed ICU Cardiac Thoracic ICU Pediatric ICU,,Government University/Academic Hospital,,21 - 30 beds,1 nurse to 3-5 patients,Yes,Physiotherapist,,>15 years,Yes, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,Very Familiar,None of them,No,Compliant on most patients,Compliant on some patients,Compliant on most patients,Non-Compliant,Fully Compliant (on all eligible patients),Compliant on most patients,Lectures Handouts,Lectures Handouts,Lectures Handouts,Lectures Handouts Simulations,Lectures Handouts Simulations,Lectures Handouts,Physician,Physician,Physician,,Advanced Practice Provider,Advanced Practice Provider Registered Nurse,No,Fentanyl Morphine Ketamine Paracetamol,,No,Yes,Yes,Midazolam Ketamine Dexmedetomidine Chloral hydrate,,No,Yes,Yes,Within 1-3 days of admission,Daily,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,5,5,8,8,7,8,8,Mostly perceived barreirs related to workload,Completed
SC-2881411,Yes,South Africa,Cape Town,Pediatric,Cardiac Thoracic ICU Pediatric ICU,,Government,,11 - 20 beds,1 nurse to 1 patient,Yes,Physician (Consultant/Attending),,6 - 10 years,Yes, - , - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain C: Choice of Analgesia and Sedation",No,Compliant on some patients,Non-Compliant,Compliant on some patients,Non-Compliant,Non-Compliant,Non-Compliant,No,No,Lectures,Lectures,Lectures,Lectures,Physician,Physician,Physician,Physician,,,No,Fentanyl Morphine Ketamine Methadone Paracetamol Nonsteroidal anti-inflammatory drugs,,No,No,No,Midazolam Diazepam Propofol Ketamine Dexmedetomidine Other,Clonidine,No,Yes,No,Within 1-3 days of admission,Daily,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,7,7,8,8,6,8,8,,Completed
SC-2940023,Yes,Sudan,Karachiartoum,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,University/Academic Hospital,,Less than 10 beds,1 nurse to 3-5 patients,No,Training MD (Intern/Resident/Fellow),,<2 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team,Active Participation / Present During Rounds, - ,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain C: Choice of Analgesia and Sedation",I don't know,Compliant on some patients,Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on most patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),No,No,No,No,No,No,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician,Physician,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Yes,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Diazepam Propofol Ketamine,,No,No,I don't know,Within 1-3 days of admission,Daily,No,Yes,Yes,I don't know,I don't know,Yes,No,Yes,I don't know,No,Yes,1,4,1,2,7,4,7,N/ A,Completed
SC-2939937,Yes,Sudan,Karachiartoum,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,Government University/Academic Hospital,,Less than 10 beds,1 nurse to 2 patients,No,Training MD (Intern/Resident/Fellow),,<2 years,Yes, - , - , - , - , - , - , - , - , - , - , - , - ,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2939934,Yes,Sudan,Karachiartoum,Adult,Medical-Surgical Mixed ICU Cardiac Thoracic ICU,,Government Private,,11 - 20 beds,1 nurse to 3-5 patients,No,Training MD (Intern/Resident/Fellow),,<2 years,Yes, - , - , - , - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Active Participation / Present During Rounds, - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,Very Familiar,None of them,No,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on some patients,Compliant on most patients,Non-Compliant,No,No,No,No,No,No,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician,Physician Training MD Intern / Resident / Fellow,,No,Fentanyl Morphine Ketamine Remifentanyl Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,No,Midazolam Diazepam Propofol Ketamine,,No,No,Yes,Within 1-3 days of admission,Daily,No,No,No,No,I don't know,Yes,I don't know,Yes,I don't know,Yes,Yes,1,5,1,1,Not a Barrier,Not a Barrier,1,Unqualified staff lacking any critical care knowledge,Completed
SC-2950172,Yes,Sudan,Karachiartoum,Adult,Medical ICU,,University/Academic Hospital,,Less than 10 beds,1 nurse to 2 patients,Yes,Training MD (Intern/Resident/Fellow),,<2 years,Yes,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2939933,Yes,Sudan,Karachiartoum,Adult,Medical ICU,,Government Private,,Less than 10 beds,1 nurse to 2 patients,Yes,Training MD (Intern/Resident/Fellow),,<2 years,No,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds, - ,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds, - ,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2940061,Yes,Sudan,Karachiartoum,Adult,Medical-Surgical Mixed ICU,,Government Private,,Less than 10 beds,1 nurse to 2 patients,Yes,Training MD (Intern/Resident/Fellow),,3 - 5 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2940131,Yes,Sudan,Karachiartoum,Adult,Surgical ICU Medical ICU Medical-Surgical Mixed ICU Cardiac Thoracic ICU,,Government,,11 - 20 beds,1 nurse to 1 patient,Yes,Training MD (Intern/Resident/Fellow),,<2 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds, - ,,,I have never heard of it,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management F: Family Engagement",No,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Non-Compliant,Compliant on most patients,Lectures,Lectures,Lectures Handouts,Lectures Handouts,No,No,Physician Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Registered Nurse,Physician Training MD Intern / Resident / Fellow,Yes,Fentanyl Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Diazepam Propofol Ketamine,,No,Yes,Yes,Never,Variable,No,No,No,No,I don't know,No,No,No,No,Yes,Yes,1,1,1,2,Not a Barrier,1,1,,Completed
SC-2939965,Yes,Sudan,Karachiartoum,Adult,Medical-Surgical Mixed ICU,,Government Private,,Less than 10 beds,1 nurse to 1 patient,Yes,Training MD (Intern/Resident/Fellow),,3 - 5 years,Yes,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds, - ,,,Very Familiar,None of them,No,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Lectures,Lectures,Lectures,Lectures,Lectures,Lectures,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Yes,Fentanyl Morphine Paracetamol,,Yes,Yes,Yes,Midazolam Diazepam Propofol Ketamine,,Yes,Yes,Yes,Within 1-3 days of admission,Multiple times a day,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,,Completed
SC-2939945,Yes,Sudan,Karachiartoum,Pediatric,Pediatric ICU,,Government,,Less than 10 beds,1 nurse to 3-5 patients,Yes,Training MD (Intern/Resident/Fellow),,<2 years,No,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team, - , - ,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds, - , - ,Active Participation / Present During Rounds, - ,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation E: Early Mobility",I don't know,I don't know,Compliant on most patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on most patients,Fully Compliant (on all eligible patients),No,Lectures,Lectures,No,No,No,Physician,Physician,Physician Training MD Intern / Resident / Fellow,,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow,I don't know,Fentanyl Morphine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,I don't know,Midazolam,,No,No,Yes,Within 4-6 days of admission,Variable,No,Yes,No,I don't know,I don't know,No,Yes,Yes,No,Yes,Yes,1,4,1,1,7,7,6,,Completed
SC-2952137,Yes,Sudan,Omdurman,Adult,Medical-Surgical Mixed ICU,,Government,,Less than 10 beds,1 nurse to 1 patient,Yes,Physician (Consultant/Attending),,3 - 5 years,Yes,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Psychatrist,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on some patients,Fully Compliant (on all eligible patients),Compliant on most patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),No,Handouts,Lectures,No,Simulations,Lectures,Physician,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol Ketamine,,Yes,Yes,Yes,Within 1-3 days of admission,Daily,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,1,3,1,2,7,5,5,Patient health condition,Completed
SC-2936235,Yes,Sudan,Karachiartoum,Adult,Medical-Surgical Mixed ICU,,Government Private University/Academic Hospital,,11 - 20 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,6 - 10 years,No, - , - , - , - , - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - , - ,Active Participation / Present During Rounds, - ,,,Somewhat Familiar,None of them,No,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Non-Compliant,Non-Compliant,Compliant on some patients,No,No,No,No,No,No,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,No,Fentanyl,,Yes,Yes,No,Midazolam Propofol,,No,No,No,Never,Never,No,No,No,No,No,No,No,No,No,No,Yes,8,8,8,8,Not a Barrier,4,4,,Completed
SC-2936236,Yes,Sudan,Karachiartoum,Adult,Surgical ICU Cardiac Thoracic ICU,,Government,,11 - 20 beds,1 nurse to 1 patient,No,Training MD (Intern/Resident/Fellow),,3 - 5 years,No,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team, - ,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2936239,Yes,Sudan,Karachiartoum,Adult,Medical-Surgical Mixed ICU,,Government Private University/Academic Hospital,,Less than 10 beds,1 nurse to 1 patient,Yes,Physician (Consultant/Attending),,<2 years,Yes,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,,I have never heard of it,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial E: Early Mobility",I don't know,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on most patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Lectures Handouts,Handouts,Lectures Handouts,No,Handouts,No,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,No,Fentanyl Morphine Ketamine Paracetamol Nalbuphine Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Ketamine,,No,Yes,No,Within 1-3 days of admission,Multiple times a day,No,No,No,No,No,Yes,No,No,No,No,Yes,8,8,4,4,4,4,4,,Completed
SC-2936237,Yes,Sudan,Wad Madani,Both Adult and Pediatric,Medical-Surgical Mixed ICU Other,8 beds with 4 ventilators and 1 portable CPAPreceived all Traumatic pt from all age,Government,,Less than 10 beds,1 nurse to 1 patient,Yes,Physician (Consultant/Attending),,<2 years,Yes,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Maxillofacial  and orthopedic surgeons,Neurological  team,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",I don't know,Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on some patients,Fully Compliant (on all eligible patients),Compliant on most patients,No,No,No,No,No,No,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,No,Fentanyl Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,No,Midazolam Propofol Ketamine,,No,I don't know,No,Within 1-3 days of admission,Daily,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,6,5,7,Not a Barrier,5,Not a Barrier,3,,Completed
SC-2904697,Yes,Thailand,Songkhla,Pediatric,Medical-Surgical Mixed ICU,,University/Academic Hospital,,Less than 10 beds,1 nurse to 1 patient,Yes,Physician (Consultant/Attending),,3 - 5 years,No, - , - , - , - ,Active Participation / Present During Rounds,Active Participation / Present During Rounds, - ,Active Participation / Present During Rounds, - , - ,Active Participation / Present During Rounds, - ,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation F: Family Engagement",I don't know,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on some patients,Compliant on some patients,Compliant on most patients,Lectures,Lectures,Lectures,Handouts,Lectures,No,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician,Physician Training MD Intern / Resident / Fellow,Physician,Physician,Registered Nurse,Yes,Fentanyl Morphine Paracetamol Nonsteroidal anti-inflammatory drugs,,I don't know,Yes,Yes,Midazolam Diazepam Lorazepam Dexmedetomidine Chloral hydrate,,No,I don't know,No,Within 7-10 days of admission,Variable,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,6,6,3,1,2,3,5,,Completed
